COD640;FRANCES PRINCIPIANTE NIVEL 1;3;Presencial - Remoto;Jueves;18:00 - 20:10;Canadian Room;Verónica Marchant;
COD642;FRANCES PRINCIPIANTE NIVEL 2;1;Presencial - Remoto;Miércoles;18:00 - 20:10;Indian Room;Verónica Marchant;
DFI600;GENERO Y DISIDENCIAS;1;Online;Miércoles;18:00 - 20:10;ZOOM;Felipe Muñoz;
VAE015;GUITARRA POPULAR;1;Presencial;Jueves;18:00 - 21:20;DIFEM 106;Marcos Vera;
ELL808;HEGEMONIA MEDIATICA, MEDIOS LIBRES Y PRACTICAS DE AUTOCOMUNICACION;1;Presencial;Miércoles;14:30 - 16:40;Sala Taller - Biblioteca;Carlos Reyes;
ELL019;INTRODUCCION A LA CULTURA CINEMATOGRAFICA;1;Presencial;Martes;09:40 - 13:00;Auditorio DIFEM;Hector Toro;
VAE036;INTRODUCCION A LA DANZA;1;Presencial;Lunes;09:40 - 13:00;Sala de danza Pratt 321;Maria Elena Maire;
VAE021;CORO UNIVERSITARIO;1;Presencial;Lunes;18:00 - 19:00;Sala de Coro;Juanita Miranda;
;;;;Martes;18:00 - 20:10;;
DFI201;ESTRATEGIAS COMUNICATIVAS PARA EL MUNDO LABORAL;1;Presencial;Lunes;08:30 - 10:40;DIFEM 106;Javiera Ibaceta;
DFI201;ESTRATEGIAS COMUNICATIVAS PARA EL MUNDO LABORAL;2;Presencial;Miércoles;08:30 - 10:40;DIFEM 204;Yosyua Neira;
DFI201;ESTRATEGIAS COMUNICATIVAS PARA EL MUNDO LABORAL;3;Presencial;Miércoles;10:50 - 13:00;DIFEM 204;Yosyua Neira;
DFI201;ESTRATEGIAS COMUNICATIVAS PARA EL MUNDO LABORAL;4;Presencial;Viernes;08:30 - 10:40;DIFEM 101;Yosyua Neira;
DFI201;ESTRATEGIAS COMUNICATIVAS PARA EL MUNDO LABORAL;5;Presencial;Viernes;10:50 - 13:00;DIFEM 204;Yosyua Neira;
DFI203;INTRODUCCIÓN A LOS DERECHOS HUMANOS;1;Presencial;Martes;15:40 - 17:50;Auditorio DIFEM;Natividad Novoa;
DFI227;INTRODUCCION AL MONTAÑISMO Y LIDERAZGO;1;Presencial;Miércoles;08:30 - 10:40;DIFEM 203;Ricardo Medina;
DFI228;POLITICAS PUBLICAS Y ESTRATEGIAS PARA LA REINSERCIÓN SOCIAL;1;Presencial;Jueves;18:00 - 21:20;DIFEM 101;Cristian Román;
VAE026;INTRODUCCION AL TEATRO;1;Presencial;Lunes;18:00 - 21:20;Sala Los Avellanos;Oscar Salinas;
COD644;ITALIANO PRINCIPIANTE NIVEL 1;1;Presencial - Remoto;Martes;19:10 - 21:20;New Zealand Room;Sharon Viscardi;
COD644;ITALIANO PRINCIPIANTE NIVEL 1;2;Presencial - Remoto;Miércoles;19:10 - 21:20;Global Room;Sharon Viscardi;
DFI032;LENGUA DE SEÑAS;1;Presencial;Lunes;18:00 - 21:20;Auditorio DIFEM;Patricio Cabalin;
DFI032;LENGUA DE SEÑAS;2;Presencial;Miércoles;18:00 - 21:20;DIFEM 106;Sebastián Rebolledo;
DFI222;LOS RETOS DE LA GESTION DEL AGUA Y SUS IMPLICANCIAS SOCIOAMBIENTALES;1;Online;Miércoles;18:00 - 21:20;ZOOM;Vivianne Fernandez;
ELL700;LECTURA CRITICA DE LA CULTURA MEDIATICA;1;Presencial;Martes;14:30 - 16:40;DIFEM 106;Carlos Reyes;
RUP232;MIRADA AL PUEBLO MAPUCHE A TRAVES DE DOCUMENTALES;1;Presencial;Miércoles;09:40 - 13:00;DIFEM 203;Ximena Levil;
ELL094;NOCIONES BASICAS DE FOTOGRAFIA;1;Presencial;Martes;16:50 - 19:00;R-106;Álvaro Cuminao;
ELL094;NOCIONES BASICAS DE FOTOGRAFIA;2;Presencial;Lunes;14:30 - 16:40;Auditorio DIFEM;Rocío Cuminao;
DFI025;ADENTRÁNDONOS A LA NARRATIVA BREVE FANTÁSTICA LATINOAMERICANA;1;Presencial;Martes;10:50 - 13:00;DIFEM 204;Javiera Ibaceta;
DFI025;ADENTRÁNDONOS A LA NARRATIVA BREVE FANTÁSTICA LATINOAMERICANA;2;Presencial;Miércoles;14:30 - 16:40;DIFEM 101;Javiera Ibaceta;
DFI025;ADENTRÁNDONOS A LA NARRATIVA BREVE FANTÁSTICA LATINOAMERICANA;3;Presencial;Viernes;08:30 - 10:40;DIFEM 204;Javiera Ibaceta;
DFI026;ORATORIA: MAS QUE HABLAR, EXPRESAR;1;Presencial;Lunes;10:50 - 13:00;Sala Taller - Biblioteca;Javiera Ibaceta;
DFI026;ORATORIA: MAS QUE HABLAR, EXPRESAR;2;Presencial;Lunes;14:30 - 16:40;DIFEM 204;Javiera Ibaceta;
DFI026;ORATORIA: MAS QUE HABLAR, EXPRESAR;3;Presencial;Lunes;16:50 - 19:00;DIFEM 203;Javiera Ibaceta;
DFI026;ORATORIA: MAS QUE HABLAR, EXPRESAR;4;Presencial;Martes;08:30 - 10:40;Sala Taller - Biblioteca;Javiera Ibaceta;
DFI026;ORATORIA: MAS QUE HABLAR, EXPRESAR;5;Presencial;Miércoles;08:30 - 10:40;Sala Taller - Biblioteca;Javiera Ibaceta;
DFI026;ORATORIA: MAS QUE HABLAR, EXPRESAR;6;Presencial;Miércoles;10:50 - 13:00;DIFEM 106;Javiera Ibaceta;
DFI026;ORATORIA: MAS QUE HABLAR, EXPRESAR;7;Presencial;Viernes;10:50 - 13:00;R1-201;Javiera Ibaceta;
VAE013;PIANO Y COMPOSICION MUSICAL;1;Presencial;Miércoles;09:40 - 13:00;Auditorio DIFEM;Jose Luis Chavez;
COD643;PORTUGUES PRINCIPIANTE NIVEL 1;1;Presencial;Lunes;14:30 - 16:40;DIFEM 101;Thays Silvério De Souza;
;;;;Miércoles;16:50 - 17:50;Global Room;Thays Silvério De Souza;
COD643;PORTUGUES PRINCIPIANTE NIVEL 1;2;Presencial;Lunes;16:50 - 19:00;DIFEM 101;Thays Silvério De Souza;
;;;;Miércoles;18:00 - 19:00;Global Room;Thays Silvério De Souza;
VAE016;PRODUCCION CINEMATOGRAFICA;1;Presencial;Martes;16:50 - 19:00;DIFEM 106;Cesar Aravena;
ELL614;PUBLICIDAD, PROPAGANDA Y REPRODUCCION SOCIAL;1;Presencial;Jueves;08:30 - 10:40;DIFEM 101;Gonzalo Berrueta;
DFI117;REIR, SERVIR Y APRENDER;1;Presencial;Miércoles;14:30 - 16:40;DIFEM 203;Romina Sánchez;
ELL767;SIMBOLOS, MITO Y CULTURA EN LA VIDA COTIDIANA;1;Presencial;Martes;10:50 - 13:00;Sala Taller - Biblioteca;Jorge Araya;
DFI658;SUSTENTABILIDAD Y MEDIO AMBIENTE;1;Presencial;Jueves;08:30 - 10:40;DIFEM 203;Francisco Rubilar;
DFI658;SUSTENTABILIDAD Y MEDIO AMBIENTE;2;Presencial;Lunes;08:30 - 10:40;DIFEM 203;Sebastian Lopez;
DFI220;TALLER DE DEBATE;1;Presencial;Lunes;16:50 - 19:00;DIFEM 204;Diego Medina;
MEC343;PRIMEROS AUXILIOS;1;Presencial;Viernes;14:30 - 17:50;B-202;Solange Salamanca;
ECS604;CIUDADANÍAS UNIVERSALES: CIENCIAS Y CULTURAS EN EL SIGLO XXI;1;Presencial;Jueves;10:50 - 13:00;D-104;Luis Inostroza;
RUP111;NÛTRAM: TEJIENDO VÌNCULOS ENTRE NATURALEZA Y ESPERITUALIDAD MAPUCHE;1;Presencial;Miércoles;14:30 - 17:50;SALA RUPU;Javiera Bravo;
RUP220;TALLER DE TEJIDO A TELAR;1;Presencial;Viernes;14:30 - 17:50;DIFEM 104;Ana Lagos;
RUP218;MAPUZUNGUN: HABLEMOS EN MAPUZUNGUN;1;Presencial;Jueves;18:00 - 20:10;DIFEM 204;Alexis Escalona;
VAE046;DANZAS FOLKLÓRICAS CHILENAS Y LATINOAMERICANAS;1;Presencial;Martes;09:40 - 13:00;Sala de danza Pratt 321;Luis Arturo Mardones;
VAE005;UKELELE;1;Presencial;Lunes;18:00 - 21:20;DIFEM 106;Marcos Vera;
EEF053;ACONDICIONAMIENTO FÍSICO;1;Presencial;Lunes;14:30 - 15:30;Sala de Musculación;Sebastián Novoa;
;;;;Miércoles;14:30 - 15:30;;
;;;;Viernes;14:30 - 15:30;;
EEF053;ACONDICIONAMIENTO FÍSICO;2;Presencial;Lunes;15:40 - 16:40;Sala de Musculación;Sebastián Novoa;
;;;;Miércoles;15:40 - 16:40;;
;;;;Viernes;15:40 - 16:40;;
EEF052;BASQUETBOL;1;Presencial;Lunes;14:30 - 15:30;Cancha 1 Gimnasio Olimpico;Fabián Higuera;
;;;;Miércoles;14:30 - 15:30;;
;;;;Viernes;14:30 - 15:30;;
EEF052;BASQUETBOL;2;Presencial;Lunes;15:40 - 16:40;Cancha 1 Gimnasio Olimpico;Fabián Higuera;
;;;;Miércoles;15:40 - 16:40;;
